Date, Open, High, Low, Close
04/06/20, 7660.17, 7938.33, 7617.78, 7913.24
04/03/20, 7477.27, 7518.72, 7288.11, 7373.08
04/02/20, 7317.45, 7501.70, 7307.94, 7487.31
04/01/20, 7459.50, 7566.37, 7301.98, 7360.58
03/31/20, 7740.06, 7880.31, 7642.86, 7700.10
03/30/20, 7583.46, 7784.35, 7539.97, 7774.15
03/27/20, 7554.25, 7716.24, 7491.14, 7502.38
03/26/20, 7462.21, 7809.82, 7462.21, 7797.54
03/25/20, 7421.36, 7671.21, 7276.40, 7384.30
03/24/20, 7196.15, 7418.38, 7169.86, 7417.86
03/23/20, 6847.28, 6984.94, 6631.42, 6860.67
03/20/20, 7248.07, 7354.44, 6854.67, 6879.52
03/19/20, 6996.45, 7341.38, 6858.38, 7150.58
03/18/20, 6902.32, 7182.83, 6686.35, 6989.84
03/17/20, 7072.00, 7406.23, 6828.91, 7334.78
03/16/20, 7392.73, 7422.20, 6882.86, 6904.59
03/13/20, 7610.39, 7875.93, 7219.09, 7874.88
03/12/20, 7398.58, 7712.33, 7194.67, 7201.80
03/11/20, 8136.25, 8181.36, 7850.94, 7952.05
03/10/20, 8219.76, 8347.40, 7930.43, 8344.25
03/09/20, 7957.93, 8243.31, 7943.16, 7950.68
03/06/20, 8469.01, 8612.36, 8375.13, 8575.62
03/05/20, 8790.09, 8921.08, 8677.39, 8738.60
03/04/20, 8834.10, 9019.96, 8757.66, 9018.09
03/03/20, 8965.10, 9070.32, 8602.90, 8684.09
03/02/20, 8667.14, 8952.81, 8543.35, 8952.16
02/28/20, 8269.74, 8591.82, 8264.16, 8567.37
02/27/20, 8744.03, 8904.11, 8562.05, 8566.48
02/26/20, 9011.55, 9148.32, 8927.80, 8980.77
02/25/20, 9301.20, 9315.25, 8940.49, 8965.61
02/24/20, 9188.44, 9322.88, 9166.01, 9221.28
02/21/20, 9708.01, 9715.94, 9542.33, 9576.59
02/20/20, 9799.20, 9820.86, 9636.94, 9750.96
02/19/20, 9782.81, 9838.37, 9777.10, 9817.18
02/18/20, 9679.04, 9747.68, 9675.80, 9732.74
02/14/20, 9728.90, 9746.36, 9693.05, 9731.18
02/13/20, 9657.04, 9748.32, 9650.02, 9711.97
02/12/20, 9688.60, 9728.77, 9666.68, 9725.96
02/11/20, 9680.89, 9714.74, 9617.21, 9638.94
02/10/20, 9493.63, 9628.66, 9493.63, 9628.39
02/07/20, 9526.64, 9570.09, 9496.53, 9520.51
02/06/20, 9540.98, 9575.66, 9505.68, 9572.15
02/05/20, 9574.10, 9574.93, 9454.93, 9508.68
02/04/20, 9398.39, 9485.38, 9374.06, 9467.97
02/03/20, 9190.72, 9299.85, 9188.56, 9273.40
01/31/20, 9324.33, 9324.80, 9123.22, 9150.94
01/30/20, 9211.15, 9303.00, 9185.18, 9298.93
01/29/20, 9318.26, 9329.11, 9249.03, 9275.16
01/28/20, 9201.82, 9288.87, 9182.33, 9269.68
01/27/20, 9092.46, 9185.45, 9088.04, 9139.31
01/24/20, 9446.20, 9451.43, 9273.23, 9314.91
01/23/20, 9377.72, 9409.20, 9334.13, 9402.48
01/22/20, 9413.61, 9439.29, 9375.13, 9383.77
01/21/20, 9361.07, 9397.58, 9350.20, 9370.81
01/17/20, 9392.37, 9393.48, 9346.81, 9388.94
01/16/20, 9313.44, 9357.92, 9301.32, 9357.13
01/15/20, 9253.76, 9298.82, 9231.14, 9258.70
01/14/20, 9270.61, 9298.32, 9226.48, 9251.33
01/13/20, 9213.72, 9274.49, 9193.06, 9273.93
01/10/20, 9232.94, 9235.19, 9164.66, 9178.86
01/09/20, 9202.27, 9215.95, 9158.50, 9203.43
01/08/20, 9068.03, 9168.89, 9059.38, 9129.24
01/07/20, 9076.65, 9091.93, 9042.56, 9068.58
01/06/20, 8943.50, 9072.41, 8943.50, 9071.46
01/03/20, 8976.43, 9065.75, 8976.43, 9020.77
01/02/20, 9039.46, 9093.43, 9010.89, 9092.19
12/31/19, 8918.74, 8975.35, 8912.77, 8972.60
12/30/19, 9004.45, 9006.35, 8909.19, 8945.99
12/27/19, 9049.47, 9052.00, 8987.32, 9006.62
12/26/19, 8970.21, 9022.46, 8968.45, 9022.39
12/24/19, 8955.01, 8957.12, 8934.36, 8952.88
12/23/19, 8950.20, 8956.64, 8934.55, 8945.65
12/20/19, 8911.84, 8931.91, 8901.87, 8924.96
12/19/19, 8838.97, 8888.13, 8838.97, 8887.22
12/18/19, 8834.65, 8848.76, 8820.42, 8827.73
12/17/19, 8829.47, 8831.99, 8804.60, 8823.36
12/16/19, 8791.31, 8833.45, 8789.77, 8814.23
12/13/19, 8713.91, 8768.87, 8697.58, 8734.88
12/12/19, 8645.36, 8745.82, 8633.60, 8717.32
12/11/19, 8631.12, 8658.48, 8622.35, 8654.05
12/10/19, 8623.56, 8650.76, 8600.82, 8616.18
12/09/19, 8650.86, 8678.85, 8619.77, 8621.83
12/06/19, 8634.25, 8665.44, 8630.57, 8656.53
12/05/19, 8587.93, 8588.89, 8541.92, 8570.70
12/04/19, 8557.44, 8584.88, 8552.38, 8566.67
12/03/19, 8460.72, 8523.98, 8435.40, 8520.64
12/02/19, 8672.84, 8672.84, 8540.16, 8567.99
11/29/19, 8682.01, 8697.32, 8664.03, 8665.47
11/27/19, 8669.59, 8705.91, 8662.58, 8705.18
11/26/19, 8635.40, 8659.73, 8625.63, 8647.93
11/25/19, 8559.65, 8633.15, 8559.65, 8632.49
11/22/19, 8530.54, 8535.46, 8477.49, 8519.88
11/21/19, 8527.87, 8530.73, 8487.29, 8506.21
11/20/19, 8543.57, 8578.27, 8468.63, 8526.73
11/19/19, 8578.02, 8589.76, 8536.73, 8570.66
11/18/19, 8529.16, 8559.78, 8503.63, 8549.94
11/15/19, 8524.48, 8540.83, 8506.80, 8540.83
11/14/19, 8461.06, 8485.35, 8441.58, 8479.02
11/13/19, 8455.02, 8496.90, 8451.34, 8482.10
11/12/19, 8471.07, 8514.84, 8462.99, 8486.09
11/11/19, 8431.26, 8467.29, 8425.48, 8464.28
11/08/19, 8422.67, 8475.57, 8405.89, 8475.31
11/07/19, 8455.11, 8483.16, 8415.87, 8434.52
11/06/19, 8426.57, 8426.57, 8379.32, 8410.63
11/05/19, 8446.62, 8457.40, 8421.06, 8434.68
11/04/19, 8445.50, 8451.37, 8421.30, 8433.20
11/01/19, 8335.05, 8386.75, 8326.56, 8386.40
10/31/19, 8314.38, 8321.80, 8248.81, 8292.36
10/30/19, 8284.28, 8315.50, 8241.70, 8303.98
10/29/19, 8313.35, 8319.29, 8275.14, 8276.85
10/28/19, 8285.77, 8335.56, 8285.27, 8325.99
10/25/19, 8150.59, 8249.97, 8150.59, 8243.12
10/24/19, 8180.04, 8187.84, 8137.66, 8185.80
10/23/19, 8090.24, 8122.88, 8078.35, 8119.79
10/22/19, 8188.12, 8194.62, 8101.98, 8104.30
10/21/19, 8137.42, 8164.14, 8117.26, 8162.99
10/18/19, 8149.85, 8157.35, 8045.38, 8089.54
10/17/19, 8176.91, 8183.64, 8131.25, 8156.85
10/16/19, 8119.81, 8146.15, 8103.38, 8124.18
10/15/19, 8074.85, 8166.18, 8071.81, 8148.71
10/14/19, 8044.35, 8069.85, 8036.41, 8048.65
10/11/19, 8047.34, 8115.80, 8046.80, 8057.04
10/10/19, 7904.56, 7982.84, 7899.81, 7950.78
10/09/19, 7895.96, 7930.91, 7873.52, 7903.74
10/08/19, 7898.27, 7921.88, 7823.73, 7823.78
10/07/19, 7956.41, 8013.32, 7942.08, 7956.29
10/04/19, 7908.44, 7986.62, 7899.40, 7982.47
10/03/19, 7787.02, 7872.27, 7700.00, 7872.26
10/02/19, 7851.14, 7852.70, 7744.96, 7785.25
10/01/19, 8026.83, 8062.50, 7906.29, 7908.68
09/30/19, 7964.09, 8012.16, 7949.63, 7999.34
09/27/19, 8047.11, 8051.83, 7890.28, 7939.63
09/26/19, 8070.12, 8072.11, 7991.02, 8030.66
09/25/19, 7990.66, 8095.00, 7935.57, 8077.38
09/24/19, 8147.23, 8158.84, 7969.66, 7993.63
